Time [ns],phase_acc
                5344, 95325
                5352,285975
                5360,476625
                5368,142987
                5376,333637
                5384,524287
                5392,190650
                5400,381300
                5408, 47662
                5416,238312
                5424,428962
                5432, 95325
                5440,285975
                5448,476625
                5456,142987
                5464,333637
                5472,524287
                5480,190650
                5488,381300
                5496, 47662
                5504,238312
                5512,428962
                5520, 95325
                5528,285975
                5536,476625
                5544,142987
                5552,333637
                5560,524287
                5568,190650
                5576,381300
                5584, 47662
                5592,238312
                5600,428962
                5608, 95325
                5616,285975
                5624,476625
                5632,142987
                5640,333637
                5648,524287
                5656,190650
                5664,381300
                5672, 47662
                5680,238312
                5688,428962
                5696, 95325
                5704,285975
                5712,476625
                5720,142987
                5728,333637
                5736,524287
                5744,190650
                5752,381300
                5760, 47662
                5768,238312
                5776,428962
                5784, 95325
                5792,285975
                5800,476625
                5808,142987
                5816,333637
                5824,524287
                5832,190650
                5840,381300
                5848, 47662
                5856,238312
                5864,428962
                5872, 95325
                5880,285975
                5888,476625
                5896,142987
                5904,333637
                5912,524287
                5920,190650
                5928,381300
                5936, 47662
                5944,238312
                5952,428962
                5960, 95325
                5968,285975
                5976,476625
                5984,142987
                5992,333637
                6000,524287
                6008,190650
                6016,381300
                6024, 47662
                6032,238312
                6040,428962
                6048, 95325
                6056,285975
                6064,476625
                6072,142987
                6080,333637
                6088,524287
                6096,190650
                6104,381300
                6112, 47662
                6120,238312
                6128,428962
                6136, 95325
                6144,285975
                6152,476625
                6160,142987
                6168,333637
                6176,524287
                6184,190650
                6192,381300
                6200, 47662
                6208,238312
                6216,428962
                6224, 95325
                6232,285975
                6240,476625
                6248,142987
                6256,333637
                6264,524287
                6272,190650
                6280,381300
                6288, 47662
                6296,238312
                6304,428962
                6312, 95325
                6320,285975
                6328,476625
                6336,142987
                6344,333637
                6352,524287
                6360,190650
                6368,381300
                6376, 47662
                6384,238312
                6392,428962
                6400, 95325
                6408,285975
                6416,476625
                6424,142987
                6432,333637
                6440,524287
                6448,190650
                6456,381300
                6464, 47662
                6472,238312
                6480,428962
                6488, 95325
                6496,285975
                6504,476625
                6512,142987
                6520,333637
                6528,524287
                6536,190650
                6544,381300
                6552, 47662
                6560,238312
                6568,428962
                6576, 95325
                6584,285975
                6592,476625
                6600,142987
                6608,333637
                6616,524287
                6624,190650
                6632,381300
                6640, 47662
                6648,238312
                6656,428962
                6664, 95325
                6672,285975
                6680,476625
                6688,142987
                6696,333637
                6704,524287
                6712,190650
                6720,381300
                6728, 47662
                6736,238312
                6744,428962
                6752, 95325
                6760,285975
                6768,476625
                6776,142987
                6784,333637
                6792,524287
                6800,190650
                6808,381300
                6816, 47662
                6824,238312
                6832,428962
                6840, 95325
                6848,285975
                6856,476625
                6864,142987
                6872,333637
                6880,524287
                6888,190650
                6896,381300
                6904, 47662
                6912,238312
                6920,428962
                6928, 95325
                6936,285975
                6944,476625
                6952,142987
                6960,333637
                6968,524287
                6976,190650
                6984,381300
                6992, 47662
                7000,238312
                7008,428962
                7016, 95325
                7024,285975
                7032,476625
                7040,142987
                7048,333637
                7056,524287
                7064,190650
                7072,381300
                7080, 47662
                7088,238312
                7096,428962
                7104, 95325
                7112,285975
                7120,476625
                7128,142987
                7136,333637
                7144,524287
                7152,190650
                7160,381300
                7168, 47662
                7176,238312
                7184,428962
                7192, 95325
                7200,285975
                7208,476625
                7216,142987
                7224,333637
                7232,524287
                7240,190650
                7248,381300
                7256, 47662
                7264,238312
                7272,428962
                7280, 95325
                7288,285975
                7296,476625
                7304,142987
                7312,333637
                7320,524287
                7328,190650
                7336,381300
                7344, 47662
                7352,238312
                7360,428962
                7368, 95325
                7376,285975
                7384,476625
                7392,142987
                7400,333637
                7408,524287
                7416,190650
                7424,381300
                7432, 47662
                7440,238312
                7448,428962
                7456, 95325
                7464,285975
                7472,476625
                7480,142987
                7488,333637
                7496,524287
                7504,190650
                7512,381300
                7520, 47662
                7528,238312
                7536,428962
                7544, 95325
                7552,285975
                7560,476625
                7568,142987
                7576,333637
                7584,524287
                7592,190650
                7600,381300
                7608, 47662
                7616,238312
                7624,428962
                7632, 95325
                7640,285975
                7648,476625
                7656,142987
                7664,333637
                7672,524287
                7680,190650
                7688,381300
                7696, 47662
                7704,238312
                7712,428962
                7720, 95325
                7728,285975
                7736,476625
                7744,142987
                7752,333637
                7760,524287
                7768,190650
                7776,381300
                7784, 47662
                7792,238312
                7800,428962
                7808, 95325
                7816,285975
                7824,476625
                7832,142987
                7840,333637
                7848,524287
                7856,190650
                7864,381300
                7872, 47662
                7880,238312
                7888,428962
                7896, 95325
                7904,285975
                7912,476625
                7920,142987
                7928,333637
                7936,524287
                7944,190650
                7952,381300
                7960, 47662
                7968,238312
                7976,428962
                7984, 95325
                7992,285975
                8000,476625
                8008,142987
                8016,333637
                8024,524287
                8032,190650
                8040,381300
                8048, 47662
                8056,238312
                8064,428962
                8072, 95325
                8080,285975
                8088,476625
                8096,142987
                8104,333637
                8112,524287
                8120,190650
                8128,381300
                8136, 47662
                8144,238312
                8152,428962
                8160, 95325
                8168,285975
                8176,476625
                8184,142987
                8192,333637
                8200,524287
                8208,190650
                8216,381300
                8224, 47662
                8232,238312
                8240,428962
                8248, 95325
                8256,285975
                8264,476625
                8272,142987
                8280,333637
                8288,524287
                8296,190650
                8304,381300
                8312, 47662
                8320,238312
                8328,428962
                8336, 95325
                8344,285975
                8352,476625
                8360,142987
                8368,333637
                8376,524287
                8384,190650
                8392,381300
                8400, 47662
                8408,238312
                8416,428962
                8424, 95325
                8432,285975
                8440,476625
                8448,142987
                8456,333637
                8464,524287
