Time [ns],phase_acc
                7376,524287
                7384, 91180
                7392,182361
                7400,273541
                7408,364722
                7416,455902
                7424, 22795
                7432,113975
                7440,205156
                7448,296336
                7456,387517
                7464,478697
                7472, 45590
                7480,136770
                7488,227951
                7496,319131
                7504,410312
                7512,501492
                7520, 68385
                7528,159565
                7536,250746
                7544,341926
                7552,433107
                7560,524287
                7568, 91180
                7576,182361
                7584,273541
                7592,364722
                7600,455902
                7608, 22795
                7616,113975
                7624,205156
                7632,296336
                7640,387517
                7648,478697
                7656, 45590
                7664,136770
                7672,227951
                7680,319131
                7688,410312
                7696,501492
                7704, 68385
                7712,159565
                7720,250746
                7728,341926
                7736,433107
                7744,524287
                7752, 91180
                7760,182361
                7768,273541
                7776,364722
                7784,455902
                7792, 22795
                7800,113975
                7808,205156
                7816,296336
                7824,387517
                7832,478697
                7840, 45590
                7848,136770
                7856,227951
                7864,319131
                7872,410312
                7880,501492
                7888, 68385
                7896,159565
                7904,250746
                7912,341926
                7920,433107
                7928,524287
                7936, 91180
                7944,182361
                7952,273541
                7960,364722
                7968,455902
                7976, 22795
                7984,113975
                7992,205156
                8000,296336
                8008,387517
                8016,478697
                8024, 45590
                8032,136770
                8040,227951
                8048,319131
                8056,410312
                8064,501492
                8072, 68385
                8080,159565
                8088,250746
                8096,341926
                8104,433107
                8112,524287
                8120, 91180
                8128,182361
                8136,273541
                8144,364722
                8152,455902
                8160, 22795
                8168,113975
                8176,205156
                8184,296336
                8192,387517
                8200,478697
                8208, 45590
                8216,136770
                8224,227951
                8232,319131
                8240,410312
                8248,501492
                8256, 68385
                8264,159565
                8272,250746
                8280,341926
                8288,433107
                8296,524287
                8304, 91180
                8312,182361
                8320,273541
                8328,364722
                8336,455902
                8344, 22795
                8352,113975
                8360,205156
                8368,296336
                8376,387517
                8384,478697
                8392, 45590
                8400,136770
                8408,227951
                8416,319131
                8424,410312
                8432,501492
                8440, 68385
                8448,159565
                8456,250746
                8464,341926
                8472,433107
                8480,524287
                8488, 91180
                8496,182361
                8504,273541
                8512,364722
                8520,455902
                8528, 22795
                8536,113975
                8544,205156
                8552,296336
                8560,387517
                8568,478697
                8576, 45590
                8584,136770
                8592,227951
                8600,319131
                8608,410312
                8616,501492
                8624, 68385
                8632,159565
                8640,250746
                8648,341926
                8656,433107
                8664,524287
                8672, 91180
                8680,182361
                8688,273541
                8696,364722
                8704,455902
                8712, 22795
                8720,113975
                8728,205156
                8736,296336
                8744,387517
                8752,478697
                8760, 45590
                8768,136770
                8776,227951
                8784,319131
                8792,410312
                8800,501492
                8808, 68385
                8816,159565
                8824,250746
                8832,341926
                8840,433107
                8848,524287
                8856, 91180
                8864,182361
                8872,273541
                8880,364722
                8888,455902
                8896, 22795
                8904,113975
                8912,205156
                8920,296336
                8928,387517
                8936,478697
                8944, 45590
                8952,136770
                8960,227951
                8968,319131
                8976,410312
                8984,501492
                8992, 68385
                9000,159565
                9008,250746
                9016,341926
                9024,433107
                9032,524287
                9040, 91180
                9048,182361
                9056,273541
                9064,364722
                9072,455902
                9080, 22795
                9088,113975
                9096,205156
                9104,296336
                9112,387517
                9120,478697
                9128, 45590
                9136,136770
                9144,227951
                9152,319131
                9160,410312
                9168,501492
                9176, 68385
                9184,159565
                9192,250746
                9200,341926
                9208,433107
                9216,524287
