  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    5830,    14310,    54272,      239,    87995,    15640,        0
    5850,    14363,    54272,      240,    87985,    15698,        0
    5870,    14416,    54272,      241,    87974,    15755,        0
    5890,    14469,    54272,      242,    87964,    15812,        0
    5910,    14522,    54272,      243,    87954,    15869,        0
    5930,    14575,    54272,      244,    87943,    15927,        0
    5950,    14628,    54272,      245,    87933,    15985,        0
    5970,    14681,    54272,      246,    87922,    16042,        0
    5990,    14734,    54272,      247,    87912,    16099,        0
    6010,    14787,    54272,      248,    87901,    16157,        0
    6030,    14840,    54272,      249,    87891,    16215,        0
    6050,    14893,    54272,      250,    87880,    16272,        0
    6070,    14946,    54272,      251,    87869,    16330,        0
    6090,    14999,    54272,      252,    87859,    16387,        0
    6110,    15052,    54272,      253,    87848,    16444,        0
    6130,    15105,    54272,      254,    87837,    16502,        0
    6150,    15158,    54272,      255,    87827,    16559,        0
    6170,    15211,    54272,      256,    87816,    16617,        0
    6190,    15264,    54272,      257,    87805,    16674,        0
    6210,    15317,    54272,      258,    87794,    16731,        0
    6230,    15370,    54272,      259,    87783,    16788,        0
    6250,    15423,    54272,      260,    87772,    16846,        0
    6270,    15476,    54272,      261,    87761,    16903,        0
    6290,    15529,    54272,      262,    87750,    16961,        0
    6310,    15582,    54272,      263,    87739,    17019,        0
    6330,    15635,    54272,      264,    87728,    17076,        0
    6350,    15688,    54272,      265,    87717,    17133,        0
    6370,    15741,    54272,      266,    87705,    17190,        0
    6390,    15794,    54272,      267,    87694,    17248,        0
    6410,    15847,    54272,      268,    87683,    17305,        0
    6430,    15900,    54272,      269,    87671,    17362,        0
    6450,    15953,    54272,      270,    87660,    17419,        0
    6470,    16006,    54272,      271,    87649,    17477,        0
    6490,    16059,    54272,      272,    87637,    17534,        0
    6510,    16112,    54272,      273,    87626,    17591,        0
    6530,    16165,    54272,      274,    87614,    17648,        0
    6550,    16218,    54272,      275,    87603,    17706,        0
    6570,    16271,    54272,      276,    87591,    17763,        0
    6590,    16324,    54272,      277,    87580,    17820,        0
    6610,    16377,    54272,      278,    87568,    17877,        0
    6630,    16430,    54272,      279,    87556,    17935,        0
    6650,    16483,    54272,      280,    87544,    17992,        0
    6670,    16536,    54272,      281,    87533,    18049,        0
    6690,    16589,    54272,      282,    87521,    18106,        0
    6710,    16642,    54272,      283,    87509,    18164,        0
    6730,    16695,    54272,      284,    87497,    18221,        0
    6750,    16748,    54272,      285,    87485,    18278,        0
    6770,    16801,    54272,      286,    87473,    18336,        0
    6790,    16854,    54272,      287,    87461,    18392,        0
    6810,    16907,    54272,      288,    87449,    18450,        0
    6830,    16960,    54272,      289,    87437,    18506,        0
    6850,    17013,    54272,      290,    87425,    18564,        0
    6870,    17066,    54272,      291,    87413,    18621,        0
    6890,    17119,    54272,      292,    87401,    18678,        0
    6910,    17172,    54272,      293,    87389,    18735,        0
    6930,    17225,    54272,      294,    87376,    18792,        0
    6950,    17278,    54272,      295,    87364,    18850,        0
    6970,    17331,    54272,      296,    87352,    18906,        0
    6990,    17384,    54272,      297,    87339,    18963,        0
    7010,    17437,    54272,      298,    87327,    19021,        0
    7030,    17490,    54272,      299,    87314,    19078,        0
    7050,    17543,    54272,      300,    87302,    19135,        0
    7070,    17596,    54272,      301,    87289,    19192,        0
    7090,    17649,    54272,      302,    87277,    19249,        0
    7110,    17702,    54272,      303,    87264,    19306,        0
    7130,    17755,    54272,      304,    87251,    19363,        0
    7150,    17808,    54272,      305,    87239,    19420,        0
    7170,    17861,    54272,      306,    87226,    19477,        0
    7190,    17914,    54272,      307,    87214,    19534,        0
    7210,    17967,    54272,      308,    87201,    19591,        0
    7230,    18020,    54272,      309,    87188,    19648,        0
    7250,    18073,    54272,      310,    87175,    19705,        0
    7270,    18126,    54272,      311,    87162,    19762,        0
    7290,    18179,    54272,      312,    87149,    19819,        0
    7310,    18232,    54272,      313,    87137,    19876,        0
    7330,    18285,    54272,      314,    87123,    19933,        0
    7350,    18338,    54272,      315,    87110,    19990,        0
    7370,    18391,    54272,      316,    87097,    20047,        0
    7390,    18444,    54272,      317,    87084,    20103,        0
    7410,    18497,    54272,      318,    87071,    20161,        0
    7430,    18550,    54272,      319,    87058,    20218,        0
    7450,    18603,    54272,      320,    87045,    20274,        0
    7470,    18656,    54272,      321,    87031,    20331,        0
    7490,    18709,    54272,      322,    87018,    20388,        0
    7510,    18762,    54272,      323,    87005,    20445,        0
    7530,    18815,    54272,      324,    86991,    20502,        0
