  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    3790,        0,    18635,     6255,    32370,        0,     6756
    3810,        0,    18623,     6291,    32370,        0,     6796
    3830,        0,    18611,     6327,    32371,        0,     6836
    3850,        0,    18599,     6363,    32371,        0,     6876
    3870,        0,    18587,     6399,    32371,        0,     6917
    3890,        0,    18575,     6435,    32372,        0,     6957
    3910,        0,    18563,     6471,    32373,        0,     6997
    3930,        0,    18551,     6507,    32374,        0,     7037
    3950,        0,    18539,     6543,    32375,        0,     7078
    3970,        0,    18527,     6579,    32376,        0,     7118
    3990,        0,    18515,     6615,    32377,        0,     7158
    4010,        0,    18503,     6651,    32379,        0,     7198
    4030,        0,    18491,     6687,    32380,        0,     7239
    4050,        0,    18478,     6723,    32380,        0,     7279
    4070,        0,    18465,     6759,    32381,        0,     7320
    4090,        0,    18452,     6795,    32381,        0,     7360
    4110,        0,    18439,     6831,    32381,        0,     7401
    4130,        0,    18426,     6867,    32382,        0,     7442
    4150,        0,    18413,     6902,    32382,        0,     7481
    4170,        0,    18400,     6937,    32382,        0,     7521
    4190,        0,    18387,     6972,    32383,        0,     7561
    4210,        0,    18374,     7007,    32383,        0,     7600
    4230,        0,    18361,     7042,    32384,        0,     7640
    4250,        0,    18348,     7077,    32384,        0,     7679
    4270,        0,    18335,     7112,    32385,        0,     7719
    4290,        0,    18322,     7147,    32386,        0,     7759
    4310,        0,    18309,     7182,    32387,        0,     7798
    4330,        0,    18295,     7217,    32387,        0,     7838
    4350,        0,    18281,     7252,    32387,        0,     7878
    4370,        0,    18267,     7287,    32387,        0,     7918
    4390,        0,    18253,     7322,    32387,        0,     7958
    4410,        0,    18239,     7357,    32387,        0,     7998
    4430,        0,    18225,     7392,    32387,        0,     8038
    4450,        0,    18211,     7427,    32387,        0,     8078
    4470,        0,    18197,     7462,    32388,        0,     8118
    4490,        0,    18183,     7497,    32388,        0,     8158
    4510,        0,    18169,     7532,    32389,        0,     8198
    4530,        0,    18155,     7567,    32390,        0,     8238
    4550,        0,    18141,     7602,    32391,        0,     8278
    4570,        0,    18127,     7637,    32392,        0,     8318
    4590,        0,    18113,     7672,    32393,        0,     8358
    4610,        0,    18099,     7707,    32394,        0,     8398
    4630,        0,    18084,     7742,    32394,        0,     8438
    4650,        0,    18069,     7777,    32394,        0,     8479
    4670,        0,    18054,     7812,    32395,        0,     8519
    4690,        0,    18039,     7847,    32395,        0,     8559
    4710,        0,    18024,     7882,    32395,        0,     8600
    4730,        0,    18009,     7917,    32396,        0,     8640
    4750,        0,    17994,     7952,    32396,        0,     8681
    4770,        0,    17979,     7987,    32397,        0,     8721
    4790,        0,    17964,     8022,    32398,        0,     8761
    4810,        0,    17949,     8057,    32399,        0,     8802
    4830,        0,    17934,     8092,    32400,        0,     8842
    4850,        0,    17919,     8127,    32401,        0,     8882
    4870,        0,    17904,     8161,    32402,        0,     8922
    4890,        0,    17889,     8195,    32403,        0,     8961
    4910,        0,    17873,     8229,    32402,        0,     9001
    4930,        0,    17857,     8263,    32402,        0,     9041
    4950,        0,    17841,     8297,    32402,        0,     9081
    4970,        0,    17825,     8331,    32401,        0,     9121
    4990,        0,    17809,     8365,    32401,        0,     9160
    5010,        0,    17793,     8399,    32401,        0,     9200
    5030,        0,    17777,     8433,    32401,        0,     9240
    5050,        0,    17761,     8467,    32402,        0,     9280
    5070,        0,    17745,     8501,    32402,        0,     9320
    5090,        0,    17729,     8535,    32403,        0,     9360
    5110,        0,    17713,     8569,    32403,        0,     9399
    5130,        0,    17697,     8603,    32404,        0,     9439
    5150,        0,    17681,     8637,    32405,        0,     9479
    5170,        0,    17665,     8671,    32406,        0,     9519
    5190,        0,    17649,     8705,    32407,        0,     9559
    5210,        0,    17632,     8739,    32406,        0,     9599
    5230,        0,    17615,     8773,    32406,        0,     9639
    5250,        0,    17598,     8807,    32406,        0,     9680
    5270,        0,    17581,     8841,    32406,        0,     9720
    5290,        0,    17564,     8875,    32407,        0,     9760
    5310,        0,    17547,     8909,    32407,        0,     9800
    5330,        0,    17530,     8943,    32407,        0,     9841
    5350,        0,    17513,     8977,    32408,        0,     9881
    5370,        0,    17496,     9011,    32409,        0,     9921
    5390,        0,    17479,     9045,    32409,        0,     9962
    5410,        0,    17462,     9079,    32410,        0,    10002
    5430,        0,    17445,     9113,    32411,        0,    10042
    5450,        0,    17428,     9147,    32413,        0,    10082
    5470,        0,    17411,     9181,    32414,        0,    10123
    5490,        0,    17394,     9215,    32415,        0,    10163
    5510,        0,    17377,     9248,    32416,        0,    10202
    5530,        0,    17359,     9281,    32415,        0,    10242
    5550,        0,    17341,     9314,    32415,        0,    10282
    5570,        0,    17323,     9347,    32415,        0,    10322
    5590,        0,    17305,     9380,    32414,        0,    10362
    5610,        0,    17287,     9413,    32414,        0,    10402
    5630,        0,    17269,     9446,    32414,        0,    10441
    5650,        0,    17251,     9479,    32414,        0,    10481
    5670,        0,    17233,     9512,    32415,        0,    10521
    5690,        0,    17215,     9545,    32415,        0,    10561
    5710,        0,    17197,     9578,    32415,        0,    10601
    5730,        0,    17179,     9611,    32416,        0,    10641
    5750,        0,    17161,     9644,    32417,        0,    10681
    5770,        0,    17143,     9677,    32418,        0,    10720
    5790,        0,    17125,     9710,    32419,        0,    10760
    5810,        0,    17107,     9743,    32420,        0,    10800
    5830,        0,    17088,     9776,    32419,        0,    10840
    5850,        0,    17069,     9809,    32419,        0,    10881
    5870,        0,    17050,     9842,    32419,        0,    10921
    5890,        0,    17031,     9875,    32420,        0,    10961
    5910,        0,    17012,     9908,    32420,        0,    11002
    5930,        0,    16993,     9941,    32420,        0,    11042
    5950,        0,    16974,     9974,    32421,        0,    11082
    5970,        0,    16955,    10007,    32421,        0,    11123
    5990,        0,    16936,    10040,    32422,        0,    11163
    6010,        0,    16917,    10073,    32423,        0,    11203
    6030,        0,    16898,    10106,    32424,        0,    11244
    6050,        0,    16879,    10139,    32425,        0,    11284
    6070,        0,    16860,    10171,    32425,        0,    11324
    6090,        0,    16841,    10203,    32426,        0,    11363
    6110,        0,    16822,    10235,    32426,        0,    11402
    6130,        0,    16803,    10267,    32427,        0,    11442
    6150,        0,    16783,    10299,    32426,        0,    11482
