  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout,mag_in,mag_out,Ratio,Error
4770,0,71146,32051,128501,0,35319,78032.1723201399,128501,1.6467694821157,-0.0000094821157
4790,0,71082,32189,128498,0,35481,78030.650676513,128498,1.64676314865945,-0.00000314865945
4810,0,71018,32327,128496,0,35644,78029.4255585673,128496,1.64676337266578,-0.00000337266578
4830,0,70953,32465,128493,0,35807,78027.5876469342,128493,1.6467637136421,-0.0000037136421
4850,0,70888,32603,128490,0,35970,78026.0479135013,128490,1.64675776149066,0.00000223850934
4870,0,70823,32741,128488,0,36134,78024.8063759212,128488,1.64675833197136,0.00000166802864
4890,0,70758,32879,128487,0,36296,78023.863048429,128487,1.64676542508859,-0.00000542508859
4910,0,70692,33016,128484,0,36459,78021.888723614,128484,1.64676864533674,-0.00000864533674
4930,0,70626,33153,128481,0,36622,78020.2107469597,128481,1.64676561072999,-0.00000561072999
4950,0,70560,33289,128478,0,36784,78018.4024509602,128478,1.64676532669016,-0.00000532669016
4970,0,70493,33425,128474,0,36945,78015.9834521106,128474,1.64676511549537,-0.00000511549537
4990,0,70426,33561,128470,0,37107,78013.8590059484,128470,1.64675868668674,0.00000131331326
5010,0,70359,33697,128467,0,37270,78012.0291365377,128467,1.6467588578571,0.0000011421429
5030,0,70292,33833,128465,0,37432,78010.4938646077,128465,1.64676562903139,-0.00000562903139
5050,0,70224,33969,128461,0,37594,78008.3529950479,128461,1.64675954648286,0.00000045351714
5070,0,70156,34105,128458,0,37757,78006.5084528208,128458,1.64676002743659,-0.00000002743659
5090,0,70088,34241,128456,0,37920,78004.9602589476,128456,1.64676707190894,-0.00000707190894
5110,0,70020,34376,128453,0,38081,78003.2677264228,128453,1.64676434390566,-0.00000434390566
5130,0,69951,34511,128449,0,38244,78000.9712888244,128449,1.64676154511429,-0.00000154511429
5150,0,69882,34646,128446,0,38406,77998.969480372,128446,1.6467653464617,-0.0000053464617
5170,0,69813,34781,128443,0,38568,77997.2623237508,128443,1.6467629269712,-0.0000029269712
5190,0,69744,34916,128441,0,38730,77995.8498383087,128441,1.64676710704823,-0.00000710704823
5210,0,69674,35051,128437,0,38893,77993.8387117854,128437,1.64675828400522,0.00000171599478
5230,0,69604,35186,128435,0,39055,77992.1240382643,128435,1.64676884472319,-0.00000884472319
5250,0,69534,35320,128432,0,39217,77990.2529550969,128432,1.64676988641061,-0.00000988641061
5270,0,69464,35454,128429,0,39379,77988.6748957821,128429,1.64676474079887,-0.00000474079887
5290,0,69393,35588,128425,0,39541,77986.5000689222,128425,1.64675937356468,0.00000062643532
5310,0,69322,35722,128422,0,39703,77984.6200734478,128422,1.64676060329651,-0.00000060329651
5330,0,69251,35856,128420,0,39866,77983.0349306822,128420,1.64676843000725,-0.00000843000725
5350,0,69179,35990,128416,0,40029,77980.857529268,128416,1.64676311685599,-0.00000311685599
5370,0,69107,36124,128413,0,40192,77978.9768142671,128413,1.64676436196205,-0.00000436196205
5390,0,69035,36257,128410,0,40353,77976.9278312502,128410,1.64676916071754,-0.00000916071754
5410,0,68963,36390,128407,0,40515,77975.1721319036,128407,1.64676776580609,-0.00000776580609
5430,0,68890,36523,128403,0,40677,77972.8262217037,128403,1.64676601095497,-0.00000601095497
5450,0,68817,36656,128400,0,40840,77970.7754546535,128400,1.64677084781176,-0.00001084781176
5470,0,68744,36789,128397,0,41002,77969.019854042,128397,1.64676945074286,-0.00000945074286
5490,0,68671,36922,128394,0,41164,77967.559439808,128394,1.64676181892191,-0.00000181892191
5510,0,68597,37055,128391,0,41327,77965.514389376,128391,1.6467665352503,-0.0000065352503
5530,0,68523,37187,128387,0,41489,77963.289425216,128387,1.646762225485,-0.000002225485
5550,0,68449,37319,128384,0,41651,77961.3581333727,128384,1.6467645391755,-0.0000045391755
5570,0,68375,37451,128381,0,41813,77959.7205356715,128381,1.64676064919008,-0.00000064919008
5590,0,68300,37583,128377,0,41975,77957.5005307379,128377,1.64675623417893,0.00000376582107
5610,0,68225,37715,128374,0,42138,77955.5761315379,128374,1.64675840229041,0.00000159770959
5630,0,68150,37847,128372,0,42301,77953.9473599638,128372,1.64676715352493,-0.00000715352493
5650,0,68075,37979,128369,0,42463,77952.6142345464,128369,1.64675683119182,0.00000316880818
5670,0,67999,38110,128366,0,42625,77950.2155288874,128366,1.64676901954722,-0.00000901954722
5690,0,67923,38241,128362,0,42787,77948.111009825,128362,1.64676216443296,-0.00000216443296
5710,0,67847,38372,128359,0,42949,77946.3007011879,128359,1.64676192257119,-0.00000192257119
5730,0,67771,38503,128357,0,43112,77944.7846234756,128357,1.64676829399232,-0.00000829399232
5750,0,67694,38634,128353,1,43274,77942.6942824021,128353.000003896,1.64676113888041,-0.00000113888041
5770,0,67617,38765,128350,0,43437,77940.9001359363,128350,1.64676055544836,-0.00000055544836
5790,0,67540,38896,128348,0,43599,77939.4022045332,128348,1.64676654387445,-0.00000654387445
5810,0,67463,39026,128345,0,43761,77937.6997671858,128345,1.64676402284633,-0.00000402284633
5830,0,67385,39156,128341,-1,43924,77935.4255842617,128341.000003896,1.64676075150366,-0.00000075150366
5850,0,67307,39286,128338,0,44086,77933.4462538389,128338,1.64676408100814,-0.00000408100814
5870,0,67229,39416,128335,0,44248,77931.7617983836,128335,1.64676117976152,-0.00000117976152
5890,0,67151,39546,128333,0,44410,77930.3722370168,128333,1.64676487890612,-0.00000487890612
5910,0,67072,39676,128330,0,44573,77928.416896534,128330,1.64676770183057,-0.00000770183057
5930,0,66993,39806,128327,0,44736,77926.7584658826,128327,1.6467642505133,-0.0000042505133
5950,0,66914,39935,128324,0,44898,77924.8844785798,128324,1.64676535433651,-0.00000535433651
5970,0,66835,40064,128321,0,45060,77923.3040944748,128321,1.64676025344642,-0.00000025344642
5990,0,66755,40193,128318,0,45223,77921.1606304732,128318,1.64676705225843,-0.00000705225843
6010,0,66675,40322,128315,0,45385,77919.3128113948,128315,1.64676760318188,-0.00000760318188
6030,0,66595,40451,128312,0,45548,77917.7606582735,128312,1.64676190532146,-0.00000190532146
6050,0,66514,40580,128309,0,45711,77915.6505202902,128309,1.64676800030806,-0.00000800030806
6070,0,66433,40708,128305,0,45873,77913.3156334654,128305,1.64676601113469,-0.00000601113469
6090,0,66352,40836,128301,0,46035,77911.2751788854,128301,1.64675779860385,0.00000220139615
6110,0,66271,40964,128299,0,46198,77909.5291796838,128299,1.64676903263145,-0.00000903263145
6130,0,66189,41092,128295,1,46360,77907.2280664638,128295.000003897,1.64676632949188,-0.00000632949188
6150,0,66107,41220,128291,0,46523,77905.2235026638,128291,1.64675735761946,0.00000264238054
