  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    3790,     9434,    13568,        0,    20080,     9799,   131035
    3810,     9487,    13568,        0,    20080,     9799,       16
    3830,     9540,    13568,        0,    20080,     9799,       69
    3850,     9593,    13568,        0,    20002,     9956,   131031
    3870,     9646,    13568,        0,    20002,     9956,       12
    3890,     9699,    13568,        0,    20002,     9956,       65
    3910,     9752,    13568,        0,    19924,    10112,   131027
    3930,     9805,    13568,        0,    19924,    10112,        8
    3950,     9858,    13568,        0,    19924,    10112,       61
    3970,     9911,    13568,        0,    19844,    10267,   131023
    3990,     9964,    13568,        0,    19844,    10267,        4
    4010,    10017,    13568,        0,    19844,    10267,       57
    4030,    10070,    13568,        0,    19764,    10422,   131019
    4050,    10123,    13568,        0,    19764,    10422,        0
    4070,    10176,    13568,        0,    19764,    10422,       53
    4090,    10229,    13568,        0,    19682,    10576,   131015
    4110,    10282,    13568,        0,    19682,    10576,   131068
    4130,    10335,    13568,        0,    19682,    10576,       49
    4150,    10388,    13568,        0,    19598,    10729,   131011
    4170,    10441,    13568,        0,    19598,    10729,   131064
    4190,    10494,    13568,        0,    19598,    10729,       45
    4210,    10547,    13568,        0,    19514,    10882,   131007
    4230,    10600,    13568,        0,    19514,    10882,   131060
    4250,    10653,    13568,        0,    19514,    10882,       41
    4270,    10706,    13568,        0,    19429,    11034,   131003
    4290,    10759,    13568,        0,    19429,    11034,   131056
    4310,    10812,    13568,        0,    19429,    11034,       37
    4330,    10865,    13568,        0,    19342,    11185,   130999
    4350,    10918,    13568,        0,    19342,    11185,   131052
    4370,    10971,    13568,        0,    19342,    11185,       33
    4390,    11024,    13568,        0,    19254,    11336,   130995
    4410,    11077,    13568,        0,    19254,    11336,   131048
    4430,    11130,    13568,        0,    19254,    11336,       29
    4450,    11183,    13568,        0,    19165,    11486,   130991
    4470,    11236,    13568,        0,    19165,    11486,   131044
    4490,    11289,    13568,        0,    19165,    11486,       25
    4510,    11342,    13568,        0,    19165,    11486,       78
    4530,    11395,    13568,        0,    19074,    11636,   131041
    4550,    11448,    13568,        0,    19074,    11636,       22
    4570,    11501,    13568,        0,    19074,    11636,       75
    4590,    11554,    13568,        0,    18983,    11784,   131037
    4610,    11607,    13568,        0,    18983,    11784,       18
    4630,    11660,    13568,        0,    18983,    11784,       71
    4650,    11713,    13568,        0,    18890,    11932,   131033
    4670,    11766,    13568,        0,    18890,    11932,       14
    4690,    11819,    13568,        0,    18890,    11932,       67
    4710,    11872,    13568,        0,    18810,    12059,   131052
    4730,    11925,    13568,        0,    18810,    12059,       33
    4750,    11978,    13568,        0,    18715,    12205,   130995
    4770,    12031,    13568,        0,    18715,    12205,   131048
    4790,    12084,    13568,        0,    18715,    12205,       29
    4810,    12137,    13568,        0,    18619,    12351,   130991
    4830,    12190,    13568,        0,    18619,    12351,   131044
    4850,    12243,    13568,        0,    18619,    12351,       25
    4870,    12296,    13568,        0,    18619,    12351,       78
    4890,    12349,    13568,        0,    18522,    12496,   131040
    4910,    12402,    13568,        0,    18522,    12496,       21
    4930,    12455,    13568,        0,    18522,    12496,       74
    4950,    12508,    13568,        0,    18424,    12640,   131036
    4970,    12561,    13568,        0,    18424,    12640,       17
    4990,    12614,    13568,        0,    18424,    12640,       70
    5010,    12667,    13568,        0,    18325,    12784,   131032
    5030,    12720,    13568,        0,    18325,    12784,       13
    5050,    12773,    13568,        0,    18325,    12784,       66
    5070,    12826,    13568,        0,    18224,    12927,   131028
    5090,    12879,    13568,        0,    18224,    12927,        9
    5110,    12932,    13568,        0,    18224,    12927,       62
    5130,    12985,    13568,        0,    18123,    13069,   131024
    5150,    13038,    13568,        0,    18123,    13069,        5
    5170,    13091,    13568,        0,    18123,    13069,       58
    5190,    13144,    13568,        0,    18020,    13210,   131020
    5210,    13197,    13568,        0,    18020,    13210,        1
    5230,    13250,    13568,        0,    18020,    13210,       54
    5250,    13303,    13568,        0,    17916,    13350,   131016
    5270,    13356,    13568,        0,    17916,    13350,   131069
    5290,    13409,    13568,        0,    17916,    13350,       50
    5310,    13462,    13568,        0,    17812,    13490,   131012
    5330,    13515,    13568,        0,    17812,    13490,   131065
    5350,    13568,    13568,        0,    17812,    13490,       46
    5370,    13621,    13568,        0,    17706,    13628,   131008
    5390,    13674,    13568,        0,    17706,    13628,   131061
    5410,    13727,    13568,        0,    17706,    13628,       42
    5430,    13780,    13568,        0,    17599,    13766,   131004
    5450,    13833,    13568,        0,    17599,    13766,   131057
    5470,    13886,    13568,        0,    17599,    13766,       38
    5490,    13939,    13568,        0,    17491,    13903,   131000
    5510,    13992,    13568,        0,    17491,    13903,   131053
    5530,    14045,    13568,        0,    17491,    13903,       34
    5550,    14098,    13568,        0,    17381,    14039,   130996
    5570,    14151,    13568,        0,    17381,    14039,   131049
    5590,    14204,    13568,        0,    17381,    14039,       30
    5610,    14257,    13568,        0,    17271,    14175,   130993
    5630,    14310,    13568,        0,    17271,    14175,   131046
    5650,    14363,    13568,        0,    17271,    14175,       27
    5670,    14416,    13568,        0,    17271,    14175,       80
    5690,    14469,    13568,        0,    17162,    14307,   131044
    5710,    14522,    13568,        0,    17162,    14307,       25
