  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout,mag_in,mag_out,Ratio,Error
2210,4717,54272,0,89230,5050,0,54272,89372.7889236987,1.64675687138301,0.00000312861699
2230,4770,54272,0,89227,5106,0,54272,89372.9755854643,1.64676031075811,-0.00000031075811
2250,4823,54272,0,89224,5163,0,54272,89373.255199752,1.6467654628492,-0.0000054628492
2270,4876,54272,0,89220,5220,0,54272,89372.5729740394,1.64675289235774,0.00000710764226
2290,4929,54272,0,89217,5276,0,54272,89372.8664920176,1.64675830063417,0.00000169936583
2310,4982,54272,0,89214,5333,0,54272,89373.2548640811,1.64676545666423,-0.00000545666423
2330,5035,54272,0,89210,5389,0,54272,89372.6212047068,1.64675378104191,0.00000621895809
2350,5088,54272,0,89207,5446,0,54272,89373.0818815151,1.64676226933806,-0.00000226933806
2370,5141,54272,0,89204,5503,0,54272,89373.5790096827,1.64677142927629,-0.00001142927629
2390,5194,54272,0,89200,5559,0,54272,89373.0523200366,1.6467617246469,-0.0000017246469
2410,5247,54272,0,89196,5616,0,54272,89372.6237278508,1.64675382753263,0.00000617246737
2430,5300,54272,0,89193,5673,0,54272,89373.2296495992,1.64676499206956,-0.00000499206956
2450,5353,54272,0,89189,5730,0,54272,89372.8740782123,1.64675844041517,0.00000155958483
2470,5406,54272,0,89186,5786,0,54272,89373.4881942067,1.64676975593689,-0.00000975593689
2490,5459,54272,0,89182,5842,0,54272,89373.1396337848,1.64676333346449,-0.00000333346449
2510,5512,54272,0,89178,5899,0,54272,89372.8923387847,1.64675877687914,0.00000122312086
2530,5565,54272,0,89174,5956,0,54272,89372.681575524,1.64675489341694,0.00000510658306
2550,5618,54272,0,89171,6012,0,54272,89373.4378045289,1.64676882747142,-0.00000882747142
2570,5671,54272,0,89167,6070,0,54272,89373.3673361366,1.64676752904143,-0.00000752904143
2590,5724,54272,0,89163,6126,0,54272,89373.1975762309,1.64676440109506,-0.00000440109506
2610,5777,54272,0,89159,6182,0,54272,89373.0630839069,1.64676192297883,-0.00000192297883
2630,5830,54272,0,89155,6239,0,54272,89373.0336622854,1.64676138086463,-0.00000138086463
2650,5883,54272,0,89151,6296,0,54272,89373.0407729311,1.64676151188331,-0.00000151188331
2670,5936,54272,0,89147,6353,0,54272,89373.0844158352,1.6467623160347,-0.0000023160347
2690,5989,54272,0,89143,6409,0,54272,89373.0928747573,1.64676247189632,-0.00000247189632
2710,6042,54272,0,89139,6465,0,54272,89373.1366015538,1.64676327759349,-0.00000327759349
2730,6095,54272,0,89135,6522,0,54272,89373.2885654321,1.64676607763547,-0.00000607763547
2750,6148,54272,0,89131,6579,0,54272,89373.4770611505,1.64676955080245,-0.00000955080245
2770,6201,54272,0,89127,6635,0,54272,89373.6278440122,1.64677232908336,-0.00001232908336
2790,6254,54272,0,89122,6692,0,54272,89372.8915723331,1.64675876275673,0.00000123724327
2810,6307,54272,0,89118,6749,0,54272,89373.1890725625,1.64676424440895,-0.00000424440895
2830,6360,54272,0,89114,6805,0,54272,89373.446957136,1.64676899611468,-0.00000899611468
2850,6413,54272,0,89109,6862,0,54272,89372.8198335489,1.64675744091887,0.00000255908113
2870,6466,54272,0,89105,6919,0,54272,89373.2263376454,1.64676493104447,-0.00000493104447
2890,6519,54272,0,89100,6975,0,54272,89372.5943732194,1.64675328665277,0.00000671334723
2910,6572,54272,0,89096,7032,0,54272,89373.073349863,1.64676211213633,-0.00000211213633
2930,6625,54272,0,89091,7089,0,54272,89372.5920067221,1.64675324304839,0.00000675695161
2950,6678,54272,0,89087,7145,0,54272,89373.0641412725,1.64676194246154,-0.00000194246154
2970,6731,54272,0,89082,7202,0,54272,89372.6553706446,1.64675441057349,0.00000558942651
2990,6784,54272,0,89078,7259,0,54272,89373.2799275041,1.64676591847553,-0.00000591847553
3010,6837,54272,0,89073,7315,0,54272,89372.8625143002,1.64675822734191,0.00000177265809
