  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    5450,        0,    68817,    36656,   128400,        0,    40840
    5470,        0,    68744,    36789,   128397,        0,    41002
    5490,        0,    68671,    36922,   128394,        0,    41164
    5510,        0,    68597,    37055,   128391,        0,    41327
    5530,        0,    68523,    37187,   128387,        0,    41489
    5550,        0,    68449,    37319,   128384,        0,    41651
    5570,        0,    68375,    37451,   128381,        0,    41813
    5590,        0,    68300,    37583,   128377,        0,    41975
    5610,        0,    68225,    37715,   128374,        0,    42138
    5630,        0,    68150,    37847,   128372,        0,    42301
    5650,        0,    68075,    37979,   128369,        0,    42463
    5670,        0,    67999,    38110,   128366,        0,    42625
    5690,        0,    67923,    38241,   128362,        0,    42787
    5710,        0,    67847,    38372,   128359,        0,    42949
    5730,        0,    67771,    38503,   128357,        0,    43112
    5750,        0,    67694,    38634,   128353,        1,    43274
    5770,        0,    67617,    38765,   128350,        0,    43437
    5790,        0,    67540,    38896,   128348,        0,    43599
    5810,        0,    67463,    39026,   128345,        0,    43761
    5830,        0,    67385,    39156,   128341,       -1,    43924
    5850,        0,    67307,    39286,   128338,        0,    44086
    5870,        0,    67229,    39416,   128335,        0,    44248
    5890,        0,    67151,    39546,   128333,        0,    44410
    5910,        0,    67072,    39676,   128330,        0,    44573
    5930,        0,    66993,    39806,   128327,        0,    44736
    5950,        0,    66914,    39935,   128324,        0,    44898
    5970,        0,    66835,    40064,   128321,        0,    45060
    5990,        0,    66755,    40193,   128318,        0,    45223
    6010,        0,    66675,    40322,   128315,        0,    45385
    6030,        0,    66595,    40451,   128312,        0,    45548
    6050,        0,    66514,    40580,   128309,        0,    45711
    6070,        0,    66433,    40708,   128305,        0,    45873
    6090,        0,    66352,    40836,   128301,        0,    46035
    6110,        0,    66271,    40964,   128299,        0,    46198
    6130,        0,    66189,    41092,   128295,        1,    46360
    6150,        0,    66107,    41220,   128291,        0,    46523
    6170,        0,    66025,    41348,   128289,        0,    46686
    6190,        0,    65943,    41475,   128285,        0,    46848
    6210,        0,    65860,    41602,   128281,        0,    47011
    6230,        0,    65777,    41729,   128278,        0,    47173
    6250,        0,    65694,    41856,   128275,       -1,    47335
    6270,        0,    65611,    41983,   128272,        0,    47498
    6290,        0,    65528,    42110,   128270,        0,    47660
    6310,        0,    65445,    42236,   128267,        0,    47822
    6330,        0,    65362,    42362,   128265,        0,    47984
    6350,        0,    65279,    42488,   128264,        0,    48145
    6370,        0,    65196,    42614,   128263,        0,    48307
    6390,        0,    65112,    42740,   128261,        0,    48469
    6410,        0,    65028,    42866,   128259,        0,    48632
    6430,        0,    64944,    42992,   128258,        0,    48793
    6450,        0,    64860,    43117,   128257,        0,    48955
    6470,        0,    64775,    43242,   128254,        0,    49117
    6490,        0,    64690,    43367,   128252,        0,    49279
    6510,        0,    64605,    43492,   128251,        0,    49441
    6530,        0,    64520,    43617,   128250,        0,    49603
    6550,        0,    64434,    43742,   128248,        0,    49765
    6570,        0,    64348,    43866,   128246,        0,    49927
    6590,        0,    64262,    43990,   128244,        0,    50089
    6610,        0,    64176,    44114,   128243,        0,    50250
    6630,        0,    64089,    44238,   128240,        0,    50413
    6650,        0,    64002,    44362,   128239,        0,    50575
    6670,        0,    63915,    44486,   128238,        0,    50737
    6690,        0,    63828,    44609,   128236,        0,    50899
    6710,        0,    63740,    44732,   128233,        0,    51061
    6730,        0,    63652,    44855,   128232,        0,    51223
    6750,        0,    63564,    44978,   128230,        0,    51385
    6770,        0,    63476,    45101,   128229,        0,    51547
    6790,        0,    63387,    45223,   128226,        0,    51709
    6810,        0,    63298,    45345,   128224,        0,    51870
    6830,        0,    63209,    45467,   128222,        0,    52033
    6850,        0,    63120,    45589,   128220,        0,    52195
    6870,        0,    63030,    45711,   128218,        0,    52357
    6890,        0,    62940,    45833,   128216,        0,    52519
    6910,        0,    62850,    45954,   128214,        0,    52681
    6930,        0,    62760,    46075,   128212,        0,    52842
    6950,        0,    62670,    46196,   128211,        0,    53004
