  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    6530,    16165,   434176,        0,   714775,    17312,        1
    6550,    16218,   434176,        0,   714773,    17373,  4194302
    6570,    16271,   434176,        0,   714772,    17427,        0
    6590,    16324,   434176,        0,   714771,    17481,        2
    6610,    16377,   434176,        0,   714769,    17542,  4194303
    6630,    16430,   434176,        0,   714766,    17598,        1
    6650,    16483,   434176,        0,   714765,    17657,  4194302
    6670,    16536,   434176,        0,   714764,    17711,        1
    6690,    16589,   434176,        0,   714762,    17767,        2
    6710,    16642,   434176,        0,   714761,    17826,  4194303
    6730,    16695,   434176,        0,   714760,    17880,        2
    6750,    16748,   434176,        0,   714758,    17942,  4194302
    6770,    16801,   434176,        0,   714757,    17995,        0
    6790,    16854,   434176,        0,   714756,    18055,  4194302
    6810,    16907,   434176,        0,   714754,    18111,  4194303
    6830,    16960,   434176,        0,   714753,    18164,        1
    6850,    17013,   434176,        0,   714752,    18224,  4194303
    6870,    17066,   434176,        0,   714751,    18277,        1
    6890,    17119,   434176,        0,   714749,    18333,        2
    6910,    17172,   434176,        0,   714748,    18393,        0
    6930,    17225,   434176,        0,   714747,    18446,        2
    6950,    17278,   434176,        0,   714745,    18507,  4194302
    6970,    17331,   434176,        0,   714744,    18561,        1
    6990,    17384,   434176,        0,   714743,    18620,  4194302
    7010,    17437,   434176,        0,   714740,    18676,  4194303
    7030,    17490,   434176,        0,   714739,    18730,        2
    7050,    17543,   434176,        0,   714738,    18789,  4194303
    7070,    17596,   434176,        0,   714737,    18843,        1
    7090,    17649,   434176,        0,   714735,    18904,  4194302
    7110,    17702,   434176,        0,   714734,    18958,        0
    7130,    17755,   434176,        0,   714730,    19015,        2
    7150,    17808,   434176,        0,   714728,    19076,  4194303
    7170,    17861,   434176,        0,   714727,    19129,        1
    7190,    17914,   434176,        0,   714726,    19189,  4194302
    7210,    17967,   434176,        0,   714724,    19245,        0
    7230,    18020,   434176,        0,   714723,    19298,        2
